brand,name,price,url,primaryImage,secondaryImage
MARYSIA,Wegner embroidered linen shirt,$448,https://www.net-a-porter.com/en-kr/shop/product/marysia/clothing/shirts/wegner-embroidered-linen-shirt/1647597326825377,https://www.net-a-porter.com/variants/images/1647597326825377/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597326825377/ou/w358_a3-4_q60.jpg
FAITHFULL,Galea belted bead-embellished linen maxi dress,$448,https://www.net-a-porter.com/en-kr/shop/product/faithfull/clothing/maxi-dresses/galea-belted-bead-embellished-linen-maxi-dress/1647597333938107,https://www.net-a-porter.com/variants/images/1647597333938107/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597333938107/ou/w358_a3-4_q60.jpg
DÔEN,Emmaretta tie-detailed shirred gingham organic cotton-voile midi dress,$448,https://www.net-a-porter.com/en-kr/shop/product/doen/clothing/midi-dresses/emmaretta-tie-detailed-shirred-gingham-organic-cotton-voile-midi-dress/1647597339364751,https://www.net-a-porter.com/variants/images/1647597339364751/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597339364751/ou/w358_a3-4_q60.jpg
MARYSIA,Sole embroidered seersucker swimsuit,$448,https://www.net-a-porter.com/en-kr/shop/product/marysia/clothing/one-piece/sole-embroidered-seersucker-swimsuit/1647597326825375,https://www.net-a-porter.com/variants/images/1647597326825375/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597326825375/fr/w358_a3-4_q60.jpg
PUCCI,Printed stretch sports bra,$449,https://www.net-a-porter.com/en-kr/shop/product/pucci/sport/sports-bras/printed-stretch-sports-bra/1647597303779149,https://www.net-a-porter.com/variants/images/1647597303779149/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597303779149/ou/w358_a3-4_q60.jpg
VERONICA BEARD,Trisha tiered cotton-blend seersucker mini shirt dress,$449,https://www.net-a-porter.com/en-kr/shop/product/veronica-beard/clothing/mini-dresses/trisha-tiered-cotton-blend-seersucker-mini-shirt-dress/1647597331726489,https://www.net-a-porter.com/variants/images/1647597331726489/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597331726489/ou/w358_a3-4_q60.jpg
THE FRANKIE SHOP,Jude belted tech-shell trench coat,$449,https://www.net-a-porter.com/en-kr/shop/product/the-frankie-shop/clothing/trench-coats/jude-belted-tech-shell-trench-coat/1647597337114110,https://www.net-a-porter.com/variants/images/1647597337114110/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597337114110/ou/w358_a3-4_q60.jpg
MATTEAU,+ NET SUSTAIN organic cotton-poplin shirt,$449,https://www.net-a-porter.com/en-kr/shop/product/matteau/clothing/shirts/plus-net-sustain-organic-cotton-poplin-shirt/1647597333951591,https://www.net-a-porter.com/variants/images/1647597333951591/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597333951591/ou/w358_a3-4_q60.jpg
CONNER IVES,Kylie lace-trimmed printed cotton-jersey T-shirt,$449,https://www.net-a-porter.com/en-kr/shop/product/conner-ives/clothing/cropped/kylie-lace-trimmed-printed-cotton-jersey-t-shirt/1647597336275136,https://www.net-a-porter.com/variants/images/1647597336275136/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597336275136/ou/w358_a3-4_q60.jpg
BODE,Heron embroidered cotton-jersey T-shirt,$449,https://www.net-a-porter.com/en-kr/shop/product/bode/clothing/t-shirts/heron-embroidered-cotton-jersey-t-shirt/1647597326582546,https://www.net-a-porter.com/variants/images/1647597326582546/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597326582546/ou/w358_a3-4_q60.jpg
LOEWE,Anagram embroidered cotton-jersey T-shirt,$450,https://www.net-a-porter.com/en-kr/shop/product/loewe/clothing/t-shirts/anagram-embroidered-cotton-jersey-t-shirt/43769801097466457,https://www.net-a-porter.com/variants/images/43769801097466457/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/43769801097466457/ou/w358_a3-4_q60.jpg
NILI LOTAN,Joan high-rise straight-leg jeans,$450,https://www.net-a-porter.com/en-kr/shop/product/nili-lotan/clothing/straight-leg/joan-high-rise-straight-leg-jeans/1647597333458980,https://www.net-a-porter.com/variants/images/1647597333458980/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597333458980/ou/w358_a3-4_q60.jpg
OSÉREE,Lumière wrap-effect embellished metallic stretch-knit mini skirt,$450,https://www.net-a-porter.com/en-kr/shop/product/oseree/clothing/coverups/lumiere-wrap-effect-embellished-metallic-stretch-knit-mini-skirt/1647597338854510,https://www.net-a-porter.com/variants/images/1647597338854510/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597338854510/ou/w358_a3-4_q60.jpg
RIVET UTILITY,Dreamer linen playsuit,$450,https://www.net-a-porter.com/en-kr/shop/product/rivet-utility/clothing/playsuits/dreamer-linen-playsuit/1647597339655334,https://www.net-a-porter.com/variants/images/1647597339655334/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597339655334/ou/w358_a3-4_q60.jpg
NILI LOTAN,May cashmere tank,$450,https://www.net-a-porter.com/en-kr/shop/product/nili-lotan/clothing/round-neck/may-cashmere-tank/1647597325069266,https://www.net-a-porter.com/variants/images/1647597325069266/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597325069266/ou/w358_a3-4_q60.jpg
NILI LOTAN,Rolland high-rise wide-leg jeans,$450,https://www.net-a-porter.com/en-kr/shop/product/nili-lotan/clothing/wide-leg/rolland-high-rise-wide-leg-jeans/1647597333458979,https://www.net-a-porter.com/variants/images/1647597333458979/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597333458979/ou/w358_a3-4_q60.jpg
NILI LOTAN,Joan high-rise straight-leg jeans,$450,https://www.net-a-porter.com/en-kr/shop/product/nili-lotan/clothing/straight-leg/joan-high-rise-straight-leg-jeans/1647597325069264,https://www.net-a-porter.com/variants/images/1647597325069264/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597325069264/ou/w358_a3-4_q60.jpg
ACNE STUDIOS,Chain-embellished ribbed cotton tank top,$450,https://www.net-a-porter.com/en-kr/shop/product/acne-studios/clothing/tanks-and-camis/chain-embellished-ribbed-cotton-tank-top/1647597331722481,https://www.net-a-porter.com/variants/images/1647597331722481/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597331722481/ou/w358_a3-4_q60.jpg
