brand,name,price,url,primaryImage,secondaryImage
STAUD,Ilana open-back cotton-blend faille turtleneck mini dress,$406,https://www.net-a-porter.com/en-kr/shop/product/staud/clothing/mini-dresses/ilana-open-back-cotton-blend-faille-turtleneck-mini-dress/1647597332285245,https://www.net-a-porter.com/variants/images/1647597332285245/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597332285245/ou/w358_a3-4_q60.jpg
BONDI BORN,Niamh gathered Sculpteur® underwired swimsuit,$406,https://www.net-a-porter.com/en-kr/shop/product/bondi-born/clothing/one-piece/niamh-gathered-sculpteurr-underwired-swimsuit/1647597334018743,https://www.net-a-porter.com/variants/images/1647597334018743/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597334018743/fr/w358_a3-4_q60.jpg
BONDI BORN,Open-back voile maxi dress,$406,https://www.net-a-porter.com/en-kr/shop/product/bondi-born/clothing/coverups/open-back-voile-maxi-dress/1647597334022902,https://www.net-a-porter.com/variants/images/1647597334022902/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597334022902/ou/w358_a3-4_q60.jpg
LOVESHACKFANCY,Docila lace-trimmed floral-print cotton-voile mini dress,$406,https://www.net-a-porter.com/en-kr/shop/product/loveshackfancy/clothing/mini-dresses/docila-lace-trimmed-floral-print-cotton-voile-mini-dress/1647597333941998,https://www.net-a-porter.com/variants/images/1647597333941998/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597333941998/ou/w358_a3-4_q60.jpg
NORMA KAMALI,Vegan patent-leather skinny pants,$406,https://www.net-a-porter.com/en-kr/shop/product/norma-kamali/clothing/straight-leg/vegan-patent-leather-skinny-pants/1647597338962790,https://www.net-a-porter.com/variants/images/1647597338962790/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597338962790/ou/w358_a3-4_q60.jpg
SUZIE KONDI,Elma cotton-blend terry jumpsuit,$406,https://www.net-a-porter.com/en-kr/shop/product/suzie-kondi/clothing/full-length/elma-cotton-blend-terry-jumpsuit/1647597332872059,https://www.net-a-porter.com/variants/images/1647597332872059/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597332872059/ou/w358_a3-4_q60.jpg
NORMA KAMALI,Strapless satin gown,$406,https://www.net-a-porter.com/en-kr/shop/product/norma-kamali/clothing/gowns/strapless-satin-gown/1647597338907630,https://www.net-a-porter.com/variants/images/1647597338907630/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597338907630/ou/w358_a3-4_q60.jpg
STAUD,Wells pleated embroidered cotton-blend poplin mini dress,$406,https://www.net-a-porter.com/en-kr/shop/product/staud/clothing/mini-dresses/wells-pleated-embroidered-cotton-blend-poplin-mini-dress/1647597339353116,https://www.net-a-porter.com/variants/images/1647597339353116/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597339353116/ou/w358_a3-4_q60.jpg
STAUD,Wells pleated striped cotton-blend poplin midi dress,$406,https://www.net-a-porter.com/en-kr/shop/product/staud/clothing/midi-dresses/wells-pleated-striped-cotton-blend-poplin-midi-dress/1647597339353235,https://www.net-a-porter.com/variants/images/1647597339353235/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597339353235/ou/w358_a3-4_q60.jpg
SEA,Elena high-rise wide-leg jeans,$406,https://www.net-a-porter.com/en-kr/shop/product/sea/clothing/wide-leg/elena-high-rise-wide-leg-jeans/1647597338348231,https://www.net-a-porter.com/variants/images/1647597338348231/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597338348231/ou/w358_a3-4_q60.jpg
FAITHFULL,Antibes open-back linen midi dress,$407,https://www.net-a-porter.com/en-kr/shop/product/faithfull/clothing/midi-dresses/antibes-open-back-linen-midi-dress/1647597340870709,https://www.net-a-porter.com/variants/images/1647597340870709/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597340870709/ou/w358_a3-4_q60.jpg
CHLOÉ,+ Eres broderie anglaise bikini briefs,$408,https://www.net-a-porter.com/en-kr/shop/product/chloe/clothing/bikini-bottoms/plus-eres-broderie-anglaise-bikini-briefs/1647597305252025,https://www.net-a-porter.com/variants/images/1647597305252025/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597305252025/fr/w358_a3-4_q60.jpg
GOLDEN GOOSE,Embellished pleated high-rise wide-leg jeans,$408,https://www.net-a-porter.com/en-kr/shop/product/golden-goose/clothing/wide-leg/embellished-pleated-high-rise-wide-leg-jeans/1647597324966773,https://www.net-a-porter.com/variants/images/1647597324966773/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597324966773/ou/w358_a3-4_q60.jpg
ERES,Les Essentiels Asia swimsuit,$409,https://www.net-a-porter.com/en-kr/shop/product/eres/clothing/one-piece/les-essentiels-asia-swimsuit/17957409489565505,https://www.net-a-porter.com/variants/images/17957409489565505/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/17957409489565505/fr/w358_a3-4_q60.jpg
ERES,Les Essentiels Asia swimsuit,$409,https://www.net-a-porter.com/en-kr/shop/product/eres/clothing/one-piece/les-essentiels-asia-swimsuit/1647597324950983,https://www.net-a-porter.com/variants/images/1647597324950983/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597324950983/fr/w358_a3-4_q60.jpg
ERES,Les Essentials Asia swimsuit,$409,https://www.net-a-porter.com/en-kr/shop/product/eres/clothing/one-piece/les-essentials-asia-swimsuit/1647597324950987,https://www.net-a-porter.com/variants/images/1647597324950987/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597324950987/fr/w358_a3-4_q60.jpg
THEORY,Cashmere sweater,$409,https://www.net-a-porter.com/en-kr/shop/product/theory/clothing/t-shirts/cashmere-sweater/1647597309072662,https://www.net-a-porter.com/variants/images/1647597309072662/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597309072662/ou/w358_a3-4_q60.jpg
RIXO,Trula floral-print crepe de chine midi dress,$409,https://www.net-a-porter.com/en-kr/shop/product/rixo/clothing/midi-dresses/trula-floral-print-crepe-de-chine-midi-dress/1647597326138649,https://www.net-a-porter.com/variants/images/1647597326138649/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597326138649/ou/w358_a3-4_q60.jpg
CULT GAIA,Alita one-shoulder embellished swimsuit,$409,https://www.net-a-porter.com/en-kr/shop/product/cult-gaia/clothing/one-piece/alita-one-shoulder-embellished-swimsuit/1647597334018703,https://www.net-a-porter.com/variants/images/1647597334018703/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597334018703/fr/w358_a3-4_q60.jpg
CULT GAIA,Trista one-shoulder fringed asymmetric ribbed-knit top,$409,https://www.net-a-porter.com/en-kr/shop/product/cult-gaia/clothing/tanks-and-camis/trista-one-shoulder-fringed-asymmetric-ribbed-knit-top/1647597334022912,https://www.net-a-porter.com/variants/images/1647597334022912/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597334022912/ou/w358_a3-4_q60.jpg
RIXO,Carey tie-detailed lace-trimmed embroidered voile midi dress,$409,https://www.net-a-porter.com/en-kr/shop/product/rixo/clothing/midi-dresses/carey-tie-detailed-lace-trimmed-embroidered-voile-midi-dress/1647597343381274,https://www.net-a-porter.com/variants/images/1647597343381274/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597343381274/ou/w358_a3-4_q60.jpg
LOULOU STUDIO,Idika wool midi dress,$410,https://www.net-a-porter.com/en-kr/shop/product/loulou-studio/clothing/midi-dresses/idika-wool-midi-dress/1647597325018706,https://www.net-a-porter.com/variants/images/1647597325018706/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597325018706/ou/w358_a3-4_q60.jpg
JOSEPH,Cashair cashmere turtleneck sweater,$411,https://www.net-a-porter.com/en-kr/shop/product/joseph/clothing/turtleneck/cashair-cashmere-turtleneck-sweater/25185454455850770,https://www.net-a-porter.com/variants/images/25185454455850770/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/25185454455850770/ou/w358_a3-4_q60.jpg
FAITHFULL,Nahna floral-print linen maxi dress,$411,https://www.net-a-porter.com/en-kr/shop/product/faithfull/clothing/midi-dresses/nahna-floral-print-linen-maxi-dress/1647597333938101,https://www.net-a-porter.com/variants/images/1647597333938101/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597333938101/ou/w358_a3-4_q60.jpg
MAYGEL CORONEL,+ NET SUSTAIN Santa ruffled swimsuit,$412,https://www.net-a-porter.com/en-kr/shop/product/maygel-coronel/clothing/one-piece/plus-net-sustain-santa-ruffled-swimsuit/1647597330951247,https://www.net-a-porter.com/variants/images/1647597330951247/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597330951247/fr/w358_a3-4_q60.jpg
ERES,Java Energie convertible bikini top,$412,https://www.net-a-porter.com/en-kr/shop/product/eres/clothing/bikini-tops/java-energie-convertible-bikini-top/1647597334117821,https://www.net-a-porter.com/variants/images/1647597334117821/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597334117821/fr/w358_a3-4_q60.jpg
TORY BURCH,Printed linen shirt,$412,https://www.net-a-porter.com/en-kr/shop/product/tory-burch/clothing/cropped/printed-linen-shirt/1647597343262893,https://www.net-a-porter.com/variants/images/1647597343262893/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597343262893/ou/w358_a3-4_q60.jpg
VERONICA BEARD,Calliope striped ribbed-knit cardigan,$412,https://www.net-a-porter.com/en-kr/shop/product/veronica-beard/clothing/cardigans/calliope-striped-ribbed-knit-cardigan/1647597336245446,https://www.net-a-porter.com/variants/images/1647597336245446/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597336245446/ou/w358_a3-4_q60.jpg
AGOLDE,+ NET SUSTAIN Wayne oversized organic denim jacket,$412,https://www.net-a-porter.com/en-kr/shop/product/agolde/clothing/casual-jackets/plus-net-sustain-wayne-oversized-organic-denim-jacket/1647597306103646,https://www.net-a-porter.com/variants/images/1647597306103646/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597306103646/ou/w358_a3-4_q60.jpg
MAYGEL CORONEL,+ NET SUSTAIN Santa ruffled swimsuit,$412,https://www.net-a-porter.com/en-kr/shop/product/maygel-coronel/clothing/one-piece/plus-net-sustain-santa-ruffled-swimsuit/1647597330951246,https://www.net-a-porter.com/variants/images/1647597330951246/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597330951246/fr/w358_a3-4_q60.jpg
