brand,name,price,url,primaryImage,secondaryImage
FRAME,+ Ritz Paris embroidered cotton-jersey T-shirt,$216,https://www.net-a-porter.com/en-kr/shop/product/frame/clothing/t-shirts/plus-ritz-paris-embroidered-cotton-jersey-t-shirt/1647597280893370,https://www.net-a-porter.com/variants/images/1647597280893370/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597280893370/ou/w358_a3-4_q60.jpg
LIDO,Tre swimsuit,$216,https://www.net-a-porter.com/en-kr/shop/product/lido/clothing/one-piece/tre-swimsuit/1647597334101402,https://www.net-a-porter.com/variants/images/1647597334101402/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597334101402/fr/w358_a3-4_q60.jpg
RE/DONE,Cotton-blend jersey bodysuit,$216,https://www.net-a-porter.com/en-kr/shop/product/redone/clothing/bodysuits/cotton-blend-jersey-bodysuit/1647597342807204,https://www.net-a-porter.com/variants/images/1647597342807204/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597342807204/ou/w358_a3-4_q60.jpg
SKIN,Rayne and Regan ribbed Pima cotton-jersey pajama set,$216,https://www.net-a-porter.com/en-kr/shop/product/skin/lingerie/pajamas/rayne-and-regan-ribbed-pima-cotton-jersey-pajama-set/1647597340909092,https://www.net-a-porter.com/variants/images/1647597340909092/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597340909092/fr/w358_a3-4_q60.jpg
RE/DONE,Cotton-blend jersey bodysuit,$216,https://www.net-a-porter.com/en-kr/shop/product/redone/clothing/bodysuits/cotton-blend-jersey-bodysuit/1647597342807211,https://www.net-a-porter.com/variants/images/1647597342807211/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597342807211/ou/w358_a3-4_q60.jpg
HUNZA G,+ NET SUSTAIN Gigi seersucker bikini,$217,https://www.net-a-porter.com/en-kr/shop/product/hunza-g/clothing/bikinis/plus-net-sustain-gigi-seersucker-bikini/11452292646253149,https://www.net-a-porter.com/variants/images/11452292646253149/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/11452292646253149/fr/w358_a3-4_q60.jpg
HUNZA G,Gigi seersucker bikini,$217,https://www.net-a-porter.com/en-kr/shop/product/hunza-g/clothing/bikinis/gigi-seersucker-bikini/1647597301994022,https://www.net-a-porter.com/variants/images/1647597301994022/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597301994022/fr/w358_a3-4_q60.jpg
HUNZA G,+ NET SUSTAIN seersucker swimsuit,$217,https://www.net-a-porter.com/en-kr/shop/product/hunza-g/clothing/one-piece/plus-net-sustain-seersucker-swimsuit/34344356236998518,https://www.net-a-porter.com/variants/images/34344356236998518/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/34344356236998518/fr/w358_a3-4_q60.jpg
HUNZA G,+ NET SUSTAIN seersucker swimsuit,$217,https://www.net-a-porter.com/en-kr/shop/product/hunza-g/clothing/one-piece/plus-net-sustain-seersucker-swimsuit/30828384629349238,https://www.net-a-porter.com/variants/images/30828384629349238/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/30828384629349238/fr/w358_a3-4_q60.jpg
HUNZA G,Xandra striped seersucker bikini,$217,https://www.net-a-porter.com/en-kr/shop/product/hunza-g/clothing/bikinis/xandra-striped-seersucker-bikini/1647597309653359,https://www.net-a-porter.com/variants/images/1647597309653359/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597309653359/fr/w358_a3-4_q60.jpg
