brand,name,price,url,primaryImage,secondaryImage
LORO PIANA,Shay striped linen blouse,"$1,775",https://www.net-a-porter.com/en-kr/shop/product/loro-piana/clothing/blouses/shay-striped-linen-blouse/1647597333290863,https://www.net-a-porter.com/variants/images/1647597333290863/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597333290863/ou/w358_a3-4_q60.jpg
PUCCI,Marmo printed satin mini dress,"$1,779",https://www.net-a-porter.com/en-kr/shop/product/pucci/clothing/mini-dresses/marmo-printed-satin-mini-dress/1647597338418960,https://www.net-a-porter.com/variants/images/1647597338418960/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597338418960/ou/w358_a3-4_q60.jpg
PUCCI,Printed cotton-muslin kaftan,"$1,779",https://www.net-a-porter.com/en-kr/shop/product/pucci/clothing/coverups/printed-cotton-muslin-kaftan/1647597338429337,https://www.net-a-porter.com/variants/images/1647597338429337/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597338429337/ou/w358_a3-4_q60.jpg
LORO PIANA,Pleated wool wide-leg pants,"$1,782",https://www.net-a-porter.com/en-kr/shop/product/loro-piana/clothing/wide-leg/pleated-wool-wide-leg-pants/1647597333105839,https://www.net-a-porter.com/variants/images/1647597333105839/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597333105839/ou/w358_a3-4_q60.jpg
LORO PIANA,Silk and cotton-blend sweater,"$1,782",https://www.net-a-porter.com/en-kr/shop/product/loro-piana/clothing/polo/silk-and-cotton-blend-sweater/1647597333105828,https://www.net-a-porter.com/variants/images/1647597333105828/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597333105828/ou/w358_a3-4_q60.jpg
LORO PIANA,Embroidered silk-satin shirt,"$1,782",https://www.net-a-porter.com/en-kr/shop/product/loro-piana/clothing/shirts/embroidered-silk-satin-shirt/1647597333105837,https://www.net-a-porter.com/variants/images/1647597333105837/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597333105837/ou/w358_a3-4_q60.jpg
MISSONI,Mare one-shoulder striped ribbed-knit maxi dress,"$1,782",https://www.net-a-porter.com/en-kr/shop/product/missoni/clothing/maxi-dresses/mare-one-shoulder-striped-ribbed-knit-maxi-dress/1647597333286890,https://www.net-a-porter.com/variants/images/1647597333286890/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597333286890/ou/w358_a3-4_q60.jpg
THE ROW,Essentials Fulham cashmere cardigan,"$1,783",https://www.net-a-porter.com/en-kr/shop/product/the-row/clothing/cardigans/essentials-fulham-cashmere-cardigan/17266703523586301,https://www.net-a-porter.com/variants/images/17266703523586301/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/17266703523586301/ou/w358_a3-4_q60.jpg
THE ROW,Essentials Fulham cashmere cardigan,"$1,783",https://www.net-a-porter.com/en-kr/shop/product/the-row/clothing/cardigans/essentials-fulham-cashmere-cardigan/17266703523586294,https://www.net-a-porter.com/variants/images/17266703523586294/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/17266703523586294/ou/w358_a3-4_q60.jpg
SHATHA ESSA,Embellished embroidered silk-blend chiffon and satin gown and cape set,"$1,783",https://www.net-a-porter.com/en-kr/shop/product/shatha-essa/clothing/gowns/embellished-embroidered-silk-blend-chiffon-and-satin-gown-and-cape-set/1647597336318915,https://www.net-a-porter.com/variants/images/1647597336318915/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597336318915/ou/w358_a3-4_q60.jpg
