brand,name,price,url,primaryImage,secondaryImage
SARA CRISTINA,Pearl-embellished cutout swimsuit,$468,https://www.net-a-porter.com/en-kr/shop/product/sara-cristina/clothing/one-piece/pearl-embellished-cutout-swimsuit/1647597339245644,https://www.net-a-porter.com/variants/images/1647597339245644/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597339245644/fr/w358_a3-4_q60.jpg
HELMUT LANG,Wool-twill slim-leg pants,$468,https://www.net-a-porter.com/en-kr/shop/product/helmut-lang/clothing/skinny-leg/wool-twill-slim-leg-pants/1647597342917151,https://www.net-a-porter.com/variants/images/1647597342917151/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597342917151/ou/w358_a3-4_q60.jpg
ERES,Wind Storm printed triangle bikini top,$468,https://www.net-a-porter.com/en-kr/shop/product/eres/clothing/bikini-tops/wind-storm-printed-triangle-bikini-top/1647597334117990,https://www.net-a-porter.com/variants/images/1647597334117990/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597334117990/fr/w358_a3-4_q60.jpg
EMPORIO SIRENUSE,Giada 2 printed cotton-voile kaftan,$468,https://www.net-a-porter.com/en-kr/shop/product/emporio-sirenuse/clothing/coverups/giada-2-printed-cotton-voile-kaftan/1647597334151634,https://www.net-a-porter.com/variants/images/1647597334151634/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597334151634/ou/w358_a3-4_q60.jpg
ERES,Cubisme patchwork triangle bikini top,$468,https://www.net-a-porter.com/en-kr/shop/product/eres/clothing/bikini-tops/cubisme-patchwork-triangle-bikini-top/1647597334139528,https://www.net-a-porter.com/variants/images/1647597334139528/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597334139528/fr/w358_a3-4_q60.jpg
LISA MARIE FERNANDEZ,Metallic seersucker halterneck bikini,$468,https://www.net-a-porter.com/en-kr/shop/product/lisa-marie-fernandez/clothing/bikinis/metallic-seersucker-halterneck-bikini/1647597339674039,https://www.net-a-porter.com/variants/images/1647597339674039/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597339674039/fr/w358_a3-4_q60.jpg
ZIMMERMANN,Denim shorts,$468,https://www.net-a-porter.com/en-kr/shop/product/zimmermann/clothing/short-and-mini/denim-shorts/1647597339061596,https://www.net-a-porter.com/variants/images/1647597339061596/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597339061596/ou/w358_a3-4_q60.jpg
SUZIE KONDI,The Kyria pleated cotton-poplin midi skirt,$468,https://www.net-a-porter.com/en-kr/shop/product/suzie-kondi/clothing/midi/the-kyria-pleated-cotton-poplin-midi-skirt/1647597332634251,https://www.net-a-porter.com/variants/images/1647597332634251/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597332634251/ou/w358_a3-4_q60.jpg
FLEUR DU MAL,Lace-paneled silk-blend satin mini dress,$468,https://www.net-a-porter.com/en-kr/shop/product/fleur-du-mal/clothing/mini-dresses/lace-paneled-silk-blend-satin-mini-dress/1647597333846898,https://www.net-a-porter.com/variants/images/1647597333846898/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597333846898/ou/w358_a3-4_q60.jpg
LISA MARIE FERNANDEZ,Embellished crepe halterneck bikini,$468,https://www.net-a-porter.com/en-kr/shop/product/lisa-marie-fernandez/clothing/bikinis/embellished-crepe-halterneck-bikini/1647597339674023,https://www.net-a-porter.com/variants/images/1647597339674023/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597339674023/fr/w358_a3-4_q60.jpg
