brand,name,price,url,primaryImage,secondaryImage
SPANX,Faux patent-leather leggings,$138,https://www.net-a-porter.com/en-kr/shop/product/spanx/clothing/leggings/faux-patent-leather-leggings/1647597329955044,https://www.net-a-porter.com/variants/images/1647597329955044/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597329955044/ou/w358_a3-4_q60.jpg
SLVRLAKE,Easy cotton-jersey T-shirt,$138,https://www.net-a-porter.com/en-kr/shop/product/slvrlake/clothing/t-shirts/easy-cotton-jersey-t-shirt/1647597332159783,https://www.net-a-porter.com/variants/images/1647597332159783/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597332159783/ou/w358_a3-4_q60.jpg
SPORTY &amp; RICH,Cropped printed stretch-jersey tank,$138,https://www.net-a-porter.com/en-kr/shop/product/sporty-rich/sport/sports-bras/cropped-printed-stretch-jersey-tank/1647597333871786,https://www.net-a-porter.com/variants/images/1647597333871786/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597333871786/ou/w358_a3-4_q60.jpg
CDLP,Lyocell-blend jersey bralette,$138,https://www.net-a-porter.com/en-kr/shop/product/cdlp/lingerie/soft-cup-bras/lyocell-blend-jersey-bralette/1647597329952900,https://www.net-a-porter.com/variants/images/1647597329952900/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597329952900/fr/w358_a3-4_q60.jpg
SLVRLAKE,Easy cotton-jersey T-shirt,$138,https://www.net-a-porter.com/en-kr/shop/product/slvrlake/clothing/t-shirts/easy-cotton-jersey-t-shirt/1647597332159777,https://www.net-a-porter.com/variants/images/1647597332159777/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597332159777/ou/w358_a3-4_q60.jpg
ANOTHER TOMORROW,Cotton-jersey tank top,$138,https://www.net-a-porter.com/en-kr/shop/product/another-tomorrow/clothing/tanks-and-camis/cotton-jersey-tank-top/1647597336564974,https://www.net-a-porter.com/variants/images/1647597336564974/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597336564974/ou/w358_a3-4_q60.jpg
CDLP,Lyocell-blend jersey bralette,$138,https://www.net-a-porter.com/en-kr/shop/product/cdlp/lingerie/soft-cup-bras/lyocell-blend-jersey-bralette/1647597329952959,https://www.net-a-porter.com/variants/images/1647597329952959/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597329952959/fr/w358_a3-4_q60.jpg
SPORTY &amp; RICH,Good Health appliquéd shell shorts,$138,https://www.net-a-porter.com/en-kr/shop/product/sporty-rich/sport/shorts/good-health-appliqued-shell-shorts/1647597333871788,https://www.net-a-porter.com/variants/images/1647597333871788/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597333871788/ou/w358_a3-4_q60.jpg
CDLP,Set of six intarsia cotton-blend socks,$138,https://www.net-a-porter.com/en-kr/shop/product/cdlp/lingerie/socks/set-of-six-intarsia-cotton-blend-socks/1647597329952938,https://www.net-a-porter.com/variants/images/1647597329952938/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597329952938/ou/w358_a3-4_q60.jpg
VARLEY,Callie open-knit cotton top,$138,https://www.net-a-porter.com/en-kr/shop/product/varley/sport/knitwear/callie-open-knit-cotton-top/1647597333855520,https://www.net-a-porter.com/variants/images/1647597333855520/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597333855520/ou/w358_a3-4_q60.jpg
VARLEY,Adie recycled crocheted vest,$138,https://www.net-a-porter.com/en-kr/shop/product/varley/sport/knitwear/adie-recycled-crocheted-vest/1647597339013098,https://www.net-a-porter.com/variants/images/1647597339013098/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597339013098/ou/w358_a3-4_q60.jpg
ANOTHER TOMORROW,Stretch Lyocell and cotton-blend jersey tank top,$138,https://www.net-a-porter.com/en-kr/shop/product/another-tomorrow/clothing/tanks-and-camis/stretch-lyocell-and-cotton-blend-jersey-tank-top/1647597336564970,https://www.net-a-porter.com/variants/images/1647597336564970/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597336564970/ou/w358_a3-4_q60.jpg
SPORTY &amp; RICH,Candy Drop embroidered stretch organic cotton-jersey shorts,$138,https://www.net-a-porter.com/en-kr/shop/product/sporty-rich/sport/shorts/candy-drop-embroidered-stretch-organic-cotton-jersey-shorts/1647597339008060,https://www.net-a-porter.com/variants/images/1647597339008060/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597339008060/ou/w358_a3-4_q60.jpg
CDLP,Set of six ribbed cotton-blend socks,$138,https://www.net-a-porter.com/en-kr/shop/product/cdlp/lingerie/socks/set-of-six-ribbed-cotton-blend-socks/1647597329952893,https://www.net-a-porter.com/variants/images/1647597329952893/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597329952893/ou/w358_a3-4_q60.jpg
LULULEMON,"Align high-rise leggings - 25""",$139,https://www.net-a-porter.com/en-kr/shop/product/lululemon/sport/leggings/align-high-rise-leggings-25/1647597299215317,https://www.net-a-porter.com/variants/images/1647597299215317/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597299215317/ou/w358_a3-4_q60.jpg
AGOLDE,Shona ribbed stretch-jersey T-shirt,$140,https://www.net-a-porter.com/en-kr/shop/product/agolde/clothing/t-shirts/shona-ribbed-stretch-jersey-t-shirt/1647597306577179,https://www.net-a-porter.com/variants/images/1647597306577179/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597306577179/ou/w358_a3-4_q60.jpg
