brand,name,price,url,primaryImage,secondaryImage
ERDEM,Belted floral-print cotton and linen-blend dress,"$1,303",https://www.net-a-porter.com/en-kr/shop/product/erdem/clothing/mini-dresses/belted-floral-print-cotton-and-linen-blend-dress/1647597335491779,https://www.net-a-porter.com/variants/images/1647597335491779/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597335491779/ou/w358_a3-4_q60.jpg
TALLER MARMO,Tigris fringed linen-blend dupioni gown,"$1,303",https://www.net-a-porter.com/en-kr/shop/product/taller-marmo/clothing/gowns/tigris-fringed-linen-blend-dupioni-gown/1647597337444745,https://www.net-a-porter.com/variants/images/1647597337444745/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597337444745/ou/w358_a3-4_q60.jpg
ERDEM,Tiered floral-print cotton and linen-blend mini dress,"$1,303",https://www.net-a-porter.com/en-kr/shop/product/erdem/clothing/midi-dresses/tiered-floral-print-cotton-and-linen-blend-mini-dress/1647597335491775,https://www.net-a-porter.com/variants/images/1647597335491775/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597335491775/ou/w358_a3-4_q60.jpg
SAINT LAURENT,Cotton-poplin tank,"$1,305",https://www.net-a-porter.com/en-kr/shop/product/saint-laurent/clothing/tanks-and-camis/cotton-poplin-tank/1647597339118565,https://www.net-a-porter.com/variants/images/1647597339118565/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597339118565/ou/w358_a3-4_q60.jpg
PIPPA HOLT,Embroidered cotton-blend huipil,"$1,305",https://www.net-a-porter.com/en-kr/shop/product/pippa-holt/clothing/coverups/embroidered-cotton-blend-huipil/1647597338626070,https://www.net-a-porter.com/variants/images/1647597338626070/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597338626070/ou/w358_a3-4_q60.jpg
BALENCIAGA,Frayed cotton-blend ripstop mini skirt,"$1,305",https://www.net-a-porter.com/en-kr/shop/product/balenciaga/clothing/midi/frayed-cotton-blend-ripstop-mini-skirt/1647597345243282,https://www.net-a-porter.com/variants/images/1647597345243282/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597345243282/ou/w358_a3-4_q60.jpg
SAINT LAURENT,Cotton and linen-blend tank,"$1,305",https://www.net-a-porter.com/en-kr/shop/product/saint-laurent/clothing/tanks-and-camis/cotton-and-linen-blend-tank/1647597339118611,https://www.net-a-porter.com/variants/images/1647597339118611/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597339118611/ou/w358_a3-4_q60.jpg
BALENCIAGA,Distressed boyfriend jeans,"$1,305",https://www.net-a-porter.com/en-kr/shop/product/balenciaga/clothing/flared/distressed-boyfriend-jeans/1647597344558986,https://www.net-a-porter.com/variants/images/1647597344558986/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597344558986/ou/w358_a3-4_q60.jpg
OFF-WHITE,Asymmetric intarsia wool cardigan,"$1,308",https://www.net-a-porter.com/en-kr/shop/product/off-white/clothing/cardigans/asymmetric-intarsia-wool-cardigan/1647597325211657,https://www.net-a-porter.com/variants/images/1647597325211657/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597325211657/ou/w358_a3-4_q60.jpg
DRIES VAN NOTEN,Lace-up asymmetric draped poplin and twill shirt dress,"$1,308",https://www.net-a-porter.com/en-kr/shop/product/dries-van-noten/clothing/maxi-dresses/lace-up-asymmetric-draped-poplin-and-twill-shirt-dress/1647597333614081,https://www.net-a-porter.com/variants/images/1647597333614081/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597333614081/ou/w358_a3-4_q60.jpg
THE ROW,Flame cady straight-leg pants,"$1,309",https://www.net-a-porter.com/en-kr/shop/product/the-row/clothing/straight-leg/flame-cady-straight-leg-pants/1647597311299089,https://www.net-a-porter.com/variants/images/1647597311299089/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597311299089/ou/w358_a3-4_q60.jpg
LOEWE,+ Paula's Ibiza leather-trimmed embroidered high-rise wide-leg jeans,"$1,309",https://www.net-a-porter.com/en-kr/shop/product/loewe/clothing/wide-leg/plus-paula-s-ibiza-leather-trimmed-embroidered-high-rise-wide-leg-jeans/1647597306717154,https://www.net-a-porter.com/variants/images/1647597306717154/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597306717154/ou/w358_a3-4_q60.jpg
GIVENCHY,Embellished ribbed stretch-cotton midi dress,"$1,309",https://www.net-a-porter.com/en-kr/shop/product/givenchy/clothing/midi-dresses/embellished-ribbed-stretch-cotton-midi-dress/1647597333155273,https://www.net-a-porter.com/variants/images/1647597333155273/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597333155273/ou/w358_a3-4_q60.jpg
CHLOÉ,Embroidered striped cotton and silk-blend poplin shorts,"$1,309",https://www.net-a-porter.com/en-kr/shop/product/chloe/clothing/short-and-mini/embroidered-striped-cotton-and-silk-blend-poplin-shorts/1647597332761393,https://www.net-a-porter.com/variants/images/1647597332761393/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597332761393/ou/w358_a3-4_q60.jpg
DIMA AYAD,One-shoulder pleated voile gown,"$1,309",https://www.net-a-porter.com/en-kr/shop/product/dima-ayad/clothing/gowns/one-shoulder-pleated-voile-gown/1647597344004613,https://www.net-a-porter.com/variants/images/1647597344004613/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597344004613/ou/w358_a3-4_q60.jpg
MAGDA BUTRYM,Cropped wool-blend crepe skinny pants,"$1,309",https://www.net-a-porter.com/en-kr/shop/product/magda-butrym/clothing/skinny-leg/cropped-wool-blend-crepe-skinny-pants/1647597345143909,https://www.net-a-porter.com/variants/images/1647597345143909/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597345143909/ou/w358_a3-4_q60.jpg
GABRIELA HEARST,Vesta wool-twill straight-leg pants,"$1,309",https://www.net-a-porter.com/en-kr/shop/product/gabriela-hearst/clothing/flared/vesta-wool-twill-straight-leg-pants/1647597324930820,https://www.net-a-porter.com/variants/images/1647597324930820/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597324930820/ou/w358_a3-4_q60.jpg
MARNI,Logo-appliquéd cashmere polo shirt,"$1,309",https://www.net-a-porter.com/en-kr/shop/product/marni/clothing/shirts/logo-appliqued-cashmere-polo-shirt/1647597337123719,https://www.net-a-porter.com/variants/images/1647597337123719/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597337123719/ou/w358_a3-4_q60.jpg
GIVENCHY,Embellished ribbed stretch-cotton midi dress,"$1,309",https://www.net-a-porter.com/en-kr/shop/product/givenchy/clothing/midi-dresses/embellished-ribbed-stretch-cotton-midi-dress/1647597323517658,https://www.net-a-porter.com/variants/images/1647597323517658/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597323517658/ou/w358_a3-4_q60.jpg
SOLACE LONDON,Raye off-the-shoulder draped crepe and satin-twill gown,"$1,309",https://www.net-a-porter.com/en-kr/shop/product/solace-london/clothing/gowns/raye-off-the-shoulder-draped-crepe-and-satin-twill-gown/1647597331395353,https://www.net-a-porter.com/variants/images/1647597331395353/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597331395353/ou/w358_a3-4_q60.jpg
TALLER MARMO,Mambo fringed crepe kaftan,"$1,309",https://www.net-a-porter.com/en-kr/shop/product/taller-marmo/clothing/gowns/mambo-fringed-crepe-kaftan/1647597331851457,https://www.net-a-porter.com/variants/images/1647597331851457/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597331851457/ou/w358_a3-4_q60.jpg
CHLOÉ,Crochet-trimmed cotton-poplin blouse,"$1,309",https://www.net-a-porter.com/en-kr/shop/product/chloe/clothing/blouses/crochet-trimmed-cotton-poplin-blouse/1647597332761362,https://www.net-a-porter.com/variants/images/1647597332761362/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597332761362/ou/w358_a3-4_q60.jpg
EMPORIO SIRENUSE,Camille embroidered linen and cotton-blend maxi skirt,"$1,309",https://www.net-a-porter.com/en-kr/shop/product/emporio-sirenuse/clothing/maxi/camille-embroidered-linen-and-cotton-blend-maxi-skirt/1647597333917429,https://www.net-a-porter.com/variants/images/1647597333917429/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597333917429/ou/w358_a3-4_q60.jpg
LOEWE,Anagram cutout high-rise straight-leg jeans,"$1,309",https://www.net-a-porter.com/en-kr/shop/product/loewe/clothing/straight-leg/anagram-cutout-high-rise-straight-leg-jeans/1647597325144711,https://www.net-a-porter.com/variants/images/1647597325144711/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597325144711/ou/w358_a3-4_q60.jpg
LOEWE,Anagram appliquéd boyfriend jeans,"$1,309",https://www.net-a-porter.com/en-kr/shop/product/loewe/clothing/straight-leg/anagram-appliqued-boyfriend-jeans/1647597325144861,https://www.net-a-porter.com/variants/images/1647597325144861/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597325144861/ou/w358_a3-4_q60.jpg
THE ROW,Carlyl high-rise straight-leg jeans,"$1,309",https://www.net-a-porter.com/en-kr/shop/product/the-row/clothing/straight-leg/carlyl-high-rise-straight-leg-jeans/1647597332737507,https://www.net-a-porter.com/variants/images/1647597332737507/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597332737507/ou/w358_a3-4_q60.jpg
DIMA AYAD,Metallic plissé-tulle gown and cape set,"$1,309",https://www.net-a-porter.com/en-kr/shop/product/dima-ayad/clothing/maxi-dresses/metallic-plisse-tulle-gown-and-cape-set/1647597335758881,https://www.net-a-porter.com/variants/images/1647597335758881/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597335758881/ou/w358_a3-4_q60.jpg
VERSACE,Icons Medusa '95 embellished wool-blend flared pants,"$1,309",https://www.net-a-porter.com/en-kr/shop/product/versace/clothing/flared/icons-medusa-95-embellished-wool-blend-flared-pants/1647597337739908,https://www.net-a-porter.com/variants/images/1647597337739908/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597337739908/ou/w358_a3-4_q60.jpg
DIMA AYAD,Metallic plissé-tulle gown and cape set,"$1,309",https://www.net-a-porter.com/en-kr/shop/product/dima-ayad/clothing/gowns/metallic-plisse-tulle-gown-and-cape-set/1647597326434884,https://www.net-a-porter.com/variants/images/1647597326434884/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597326434884/ou/w358_a3-4_q60.jpg
DIMA AYAD,Metallic plissé-tulle gown and cape set,"$1,309",https://www.net-a-porter.com/en-kr/shop/product/dima-ayad/clothing/gowns/metallic-plisse-tulle-gown-and-cape-set/1647597326434845,https://www.net-a-porter.com/variants/images/1647597326434845/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597326434845/ou/w358_a3-4_q60.jpg
DIMA AYAD,Metallic plissé-tulle gown and cape set,"$1,309",https://www.net-a-porter.com/en-kr/shop/product/dima-ayad/clothing/gowns/metallic-plisse-tulle-gown-and-cape-set/1647597326434832,https://www.net-a-porter.com/variants/images/1647597326434832/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597326434832/ou/w358_a3-4_q60.jpg
EMPORIO SIRENUSE,Mintha printed silk-crepe kaftan,"$1,309",https://www.net-a-porter.com/en-kr/shop/product/emporio-sirenuse/clothing/coverups/mintha-printed-silk-crepe-kaftan/1647597334145414,https://www.net-a-porter.com/variants/images/1647597334145414/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597334145414/ou/w358_a3-4_q60.jpg
VERSACE,Cotton-blend terry jacquard bralette,"$1,309",https://www.net-a-porter.com/en-kr/shop/product/versace/clothing/cropped/cotton-blend-terry-jacquard-bralette/1647597336912841,https://www.net-a-porter.com/variants/images/1647597336912841/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597336912841/ou/w358_a3-4_q60.jpg
TALLER MARMO,Spritz one-sleeve fringed crepe gown,"$1,309",https://www.net-a-porter.com/en-kr/shop/product/taller-marmo/clothing/gowns/spritz-one-sleeve-fringed-crepe-gown/1647597332676726,https://www.net-a-porter.com/variants/images/1647597332676726/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597332676726/ou/w358_a3-4_q60.jpg
PUCCI,One-shoulder printed cotton-voile top,"$1,310",https://www.net-a-porter.com/en-kr/shop/product/pucci/clothing/blouses/one-shoulder-printed-cotton-voile-top/1647597296095346,https://www.net-a-porter.com/variants/images/1647597296095346/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597296095346/ou/w358_a3-4_q60.jpg
TOVE,Rayssa strapless stretch-jersey maxi dress,"$1,311",https://www.net-a-porter.com/en-kr/shop/product/tove/clothing/maxi-dresses/rayssa-strapless-stretch-jersey-maxi-dress/1647597315454665,https://www.net-a-porter.com/variants/images/1647597315454665/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597315454665/ou/w358_a3-4_q60.jpg
RALPH LAUREN COLLECTION,Pleated pinstriped wool straight-leg pants,"$1,311",https://www.net-a-porter.com/en-kr/shop/product/ralph-lauren-collection/clothing/straight-leg/pleated-pinstriped-wool-straight-leg-pants/1647597317529555,https://www.net-a-porter.com/variants/images/1647597317529555/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597317529555/ou/w358_a3-4_q60.jpg
FERRAGAMO,Topstitched poplin shirt,"$1,311",https://www.net-a-porter.com/en-kr/shop/product/ferragamo/clothing/shirts/topstitched-poplin-shirt/1647597337075367,https://www.net-a-porter.com/variants/images/1647597337075367/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597337075367/ou/w358_a3-4_q60.jpg
FERRAGAMO,Paneled chiffon-trimmed wool and silk-blend midi skirt,"$1,311",https://www.net-a-porter.com/en-kr/shop/product/ferragamo/clothing/midi/paneled-chiffon-trimmed-wool-and-silk-blend-midi-skirt/1647597337078078,https://www.net-a-porter.com/variants/images/1647597337078078/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597337078078/ou/w358_a3-4_q60.jpg
DOLCE&amp;GABBANA,Pleated printed cotton-poplin mini skirt,"$1,311",https://www.net-a-porter.com/en-kr/shop/product/dolcegabbana/clothing/mini/pleated-printed-cotton-poplin-mini-skirt/1647597337786457,https://www.net-a-porter.com/variants/images/1647597337786457/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597337786457/ou/w358_a3-4_q60.jpg
PUCCI,Silk-trimmed stretch-cotton drill straight-leg pants,"$1,312",https://www.net-a-porter.com/en-kr/shop/product/pucci/clothing/flared/silk-trimmed-stretch-cotton-drill-straight-leg-pants/1647597296100335,https://www.net-a-porter.com/variants/images/1647597296100335/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597296100335/ou/w358_a3-4_q60.jpg
LIBEROWE,Raja denim jacket,"$1,314",https://www.net-a-porter.com/en-kr/shop/product/liberowe/clothing/smart/raja-denim-jacket/1647597336344328,https://www.net-a-porter.com/variants/images/1647597336344328/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597336344328/ou/w358_a3-4_q60.jpg
GUCCI,GG Supreme printed silk-twill shorts,"$1,314",https://www.net-a-porter.com/en-kr/shop/product/gucci/clothing/short-and-mini/gg-supreme-printed-silk-twill-shorts/1647597330815824,https://www.net-a-porter.com/variants/images/1647597330815824/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597330815824/ou/w358_a3-4_q60.jpg
ALAÏA,Latex pencil skirt,"$1,314",https://www.net-a-porter.com/en-kr/shop/product/alaia/clothing/midi/latex-pencil-skirt/1647597328648928,https://www.net-a-porter.com/variants/images/1647597328648928/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597328648928/ou/w358_a3-4_q60.jpg
GUCCI,Ribbed wool and silk-blend sweater,"$1,314",https://www.net-a-porter.com/en-kr/shop/product/gucci/clothing/round-neck/ribbed-wool-and-silk-blend-sweater/1647597339965341,https://www.net-a-porter.com/variants/images/1647597339965341/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597339965341/ou/w358_a3-4_q60.jpg
MONCLER,Lans quilted shell down jacket,"$1,315",https://www.net-a-porter.com/en-kr/shop/product/moncler/clothing/casual-jackets/lans-quilted-shell-down-jacket/1647597325563738,https://www.net-a-porter.com/variants/images/1647597325563738/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597325563738/ou/w358_a3-4_q60.jpg
MONCLER,Lans quilted shell down jacket,"$1,315",https://www.net-a-porter.com/en-kr/shop/product/moncler/clothing/casual-jackets/lans-quilted-shell-down-jacket/1647597327274555,https://www.net-a-porter.com/variants/images/1647597327274555/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597327274555/ou/w358_a3-4_q60.jpg
SHATHA ESSA,Cape-effect embellished embroidered silk and cotton-blend satin gown,"$1,316",https://www.net-a-porter.com/en-kr/shop/product/shatha-essa/clothing/gowns/cape-effect-embellished-embroidered-silk-and-cotton-blend-satin-gown/1647597336318939,https://www.net-a-porter.com/variants/images/1647597336318939/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597336318939/ou/w358_a3-4_q60.jpg
PUCCI,Printed silk maxi dress,"$1,319",https://www.net-a-porter.com/en-kr/shop/product/pucci/clothing/maxi-dresses/printed-silk-maxi-dress/1647597309659862,https://www.net-a-porter.com/variants/images/1647597309659862/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597309659862/ou/w358_a3-4_q60.jpg
NILI LOTAN,Tova ribbed cashmere sweater,"$1,320",https://www.net-a-porter.com/en-kr/shop/product/nili-lotan/clothing/polo/tova-ribbed-cashmere-sweater/1647597333461028,https://www.net-a-porter.com/variants/images/1647597333461028/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597333461028/ou/w358_a3-4_q60.jpg
ETRO,Paisley-print crepe flared pants,"$1,320",https://www.net-a-porter.com/en-kr/shop/product/etro/clothing/straight-leg/paisley-print-crepe-flared-pants/1647597338477850,https://www.net-a-porter.com/variants/images/1647597338477850/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597338477850/ou/w358_a3-4_q60.jpg
ETRO,Denim-jacquard high-rise flared jeans,"$1,320",https://www.net-a-porter.com/en-kr/shop/product/etro/clothing/wide-leg/denim-jacquard-high-rise-flared-jeans/1647597338477833,https://www.net-a-porter.com/variants/images/1647597338477833/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597338477833/ou/w358_a3-4_q60.jpg
ETRO,Floral-print silk-crepon blouse,"$1,320",https://www.net-a-porter.com/en-kr/shop/product/etro/clothing/blouses/floral-print-silk-crepon-blouse/1647597338668602,https://www.net-a-porter.com/variants/images/1647597338668602/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597338668602/ou/w358_a3-4_q60.jpg
NILI LOTAN,Tova ribbed cashmere sweater,"$1,320",https://www.net-a-porter.com/en-kr/shop/product/nili-lotan/clothing/polo/tova-ribbed-cashmere-sweater/1647597333458083,https://www.net-a-porter.com/variants/images/1647597333458083/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597333458083/ou/w358_a3-4_q60.jpg
ETRO,Embroidered jacquard shirt,"$1,320",https://www.net-a-porter.com/en-kr/shop/product/etro/clothing/shirts/embroidered-jacquard-shirt/1647597338477845,https://www.net-a-porter.com/variants/images/1647597338477845/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597338477845/ou/w358_a3-4_q60.jpg
BRUNELLO CUCINELLI,Bead-embellished cashmere turtleneck sweater,"$1,321",https://www.net-a-porter.com/en-kr/shop/product/brunello-cucinelli/clothing/turtleneck/bead-embellished-cashmere-turtleneck-sweater/13452677153288204,https://www.net-a-porter.com/variants/images/13452677153288204/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/13452677153288204/ou/w358_a3-4_q60.jpg
PUCCI,Ruffled printed stretch-mesh midi dress,"$1,321",https://www.net-a-porter.com/en-kr/shop/product/pucci/clothing/midi-dresses/ruffled-printed-stretch-mesh-midi-dress/1647597296100054,https://www.net-a-porter.com/variants/images/1647597296100054/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597296100054/ou/w358_a3-4_q60.jpg
PUCCI,Embellished fringed silk-trimmed stretch-cotton drill straight-leg pants,"$1,321",https://www.net-a-porter.com/en-kr/shop/product/pucci/clothing/straight-leg/embellished-fringed-silk-trimmed-stretch-cotton-drill-straight-leg-pants/1647597296100029,https://www.net-a-porter.com/variants/images/1647597296100029/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597296100029/ou/w358_a3-4_q60.jpg
